chromosome	ID_locus1	ID_locus2	interaction_status	distance
chr6	FAM26E	chr6_116835893	stable	4884
chr6	FAM26D	BET3L	stable	9870
chr6	KPNA5	chr6_117006489	stable	4599
chr6	KPNA5	chr6_117009315	stable	7425
chr6	U6.648	chr6_117786842	stable	8581
chr6	CEP85L	chr6_119039928	stable	12313
chr6	CEP85L	chr6_119041051	stable	13436
chr6	MIR548B	chr6_119395278	stable	8111
chr6	FAM184A	chr6_119471055	stable	1969
chr6	PKIB	chr6_122796024	stable	8973
chr6	SMPDL3A	chr6_123113482	stable	4521
chr6	SMPDL3A	chr6_123115958	stable	6997
chr6	SMPDL3A	chr6_123117090	stable	8129
chr6	SMPDL3A	chr6_123120634	stable	11673
chr6	SMPDL3A	chr6_123121516	stable	12555
chr6	RNF217	chr6_125286345	stable	5122
chr6	RNF217	chr6_125288858	stable	7635
chr6	HEY2	chr6_126072245	stable	5509
chr6	HEY2	chr6_126074531	stable	7795
chr6	HINT3	chr6_126289086	stable	19078
chr6	TRMT11	chr6_126311795	stable	7229
chr6	RSPO3	chr6_127444924	stable	7792
chr6	ECHDC1	chr6_127665712	stable	2021
chr6	ECHDC1	chr6_127669632	stable	5941
chr6	PTPRK	chr6_128844909	stable	3706
chr6	PTPRK	chr6_128845915	stable	4712
chr6	PTPRK	chr6_128846124	stable	4921
chr6	Z97352.1	chr6_130078571	stable	12107
chr6	Z97352.1	chr6_130083089	stable	16625
chr6	Z97352.1	chr6_130086628	stable	20164
chr6	TMEM244	chr6_130190251	stable	8657
chr6	EPB41L2	chr6_131385829	stable	3039
chr6	ARG1	chr6_131900691	stable	10932
chr6	MED23	chr6_131957540	stable	9325
chr6	VNN2	chr6_133085539	stable	1318
chr6	VNN2	chr6_133090833	stable	6612
chr6	TBPL1	chr6_134284081	stable	18291
chr6	SLC2A12	chr6_134378685	stable	7597
chr6	MAP7	chr6_136875863	stable	7266
chr6	IFNGR1	chr6_137555185	stable	20960
chr6	PBOV1	chr6_138546071	stable	8559
chr6	ECT2L	chr6_139122396	stable	5405
chr6	REPS1	chr6_139310632	stable	2849
chr6	GPR126	chr6_142624240	stable	4341
chr6	GPR126	chr6_142627477	stable	7578
chr6	GPR126	chr6_142629490	stable	9591
chr6	HIVEP2	chr6_143271165	stable	5996
chr6	PHACTR2	chr6_143875860	stable	19501
chr6	PHACTR2	chr6_143884095	stable	27736
chr6	STX11	chr6_144476511	stable	10912
chr6	STX11	chr6_144483306	stable	17707
chr6	GRM1	chr6_146352223	stable	4174
chr6	GRM1	chr6_146355234	stable	7185
chr6	RAB32	chr6_146867327	stable	7440
chr6	RAB32	chr6_146873518	stable	13631
chr6	ADGB	chr6_146921613	stable	3644
chr6	ADGB	chr6_146930840	stable	12871
chr6	SAMD5	chr6_147832347	stable	13727
chr6	SASH1	chr6_148601504	stable	8319
chr6	UST	chr6_149077875	stable	16520
chr6	UST	chr6_149091874	stable	30519
chr6	PPIL4	chr6_149872423	stable	7007
chr6	PPIL4	chr6_149880700	stable	15284
chr6	PPIL4	GINM1	stable	19995
chr6	SNORA2.2	chr6_149922752	stable	8264
chr6	SNORA2.2	chr6_149925838	stable	11350
chr6	RAET1E	chr6_150223261	stable	6995
chr6	RAET1E	chr6_150225754	stable	9488
chr6	RAET1E	chr6_150227880	stable	11614
chr6	AKAP12	chr6_151564644	stable	5675
chr6	snoU13.312	chr6_151678217	stable	24667
chr6	ZBTB2	chr6_151716137	stable	6125
chr6	ZBTB2	chr6_151721760	stable	11748
chr6	ZBTB2	chr6_151728521	stable	18509
chr6	ESR1	chr6_151981488	stable	3745
chr6	ESR1	chr6_151985605	stable	7862
chr6	VIP	chr6_153072979	stable	3617
chr6	SCAF8	chr6_155066954	stable	14602
chr6	SCAF8	chr6_155068345	stable	15993
chr6	U8.20	chr6_155231100	stable	16398
chr6	U8.20	chr6_155235070	stable	20368
chr6	NOX3	chr6_155781696	stable	5391
chr6	SNORD28.1	chr6_156701826	stable	2557
chr6	SNORD28.1	chr6_156714665	stable	15396
chr6	TMEM242	chr6_157745224	stable	1714
chr6	TMEM242	chr6_157747459	stable	3949
chr6	MIR3692	chr6_157950463	stable	3396
chr6	TULP4	chr6_158736854	stable	4304
chr6	TULP4	chr6_158743901	stable	11351
chr6	U6.850	chr6_159361663	stable	23626
chr6	TAGAP	chr6_159513529	stable	47753
chr6	TAGAP	chr6_159515910	stable	50134
chr6	TAGAP	chr6_159525805	stable	60029
chr6	SNORA20	chr6_160203464	stable	8169
chr6	SNORA29	TCP1	stable	3570
chr6	TCP1	chr6_160212616	stable	4019
chr6	TCP1	PNLDC1	stable	8497
chr6	AGPAT4	chr6_161695669	stable	1627
chr6	QKI	chr6_163837601	stable	4236
chr6	PDE10A	chr6_166083150	stable	10118
chr6	PDE10A	chr6_166083630	stable	10598
chr6	PDE10A	chr6_166084757	stable	11725
chr6	U6.393	chr6_166132320	stable	4384
chr6	U6.393	chr6_166140805	stable	12869
chr6	SDIM1	chr6_166324093	stable	15624
chr6	SDIM1	chr6_166325358	stable	16889
chr6	SDIM1	chr6_166330131	stable	21662
chr6	T	chr6_166594667	stable	13982
chr6	PRR18	chr6_166724860	stable	8965
chr6	MPC1	chr6_166809482	stable	14140
chr6	Z98049.1	chr6_166949422	stable	9783
chr6	MIR3939	chr6_167416126	stable	9184
chr6	MIR3939	chr6_167417500	stable	10558
chr6	KIF25	chr6_168399247	stable	3254
chr6	TCTE3	chr6_170159875	stable	11620
chr6	TCTE3	chr6_170162631	stable	14376
chr6	DLL1	chr6_170603649	stable	7396
chr6	MIR4644	chr6_170640326	stable	13127
chr6	PSMB1	chr6_170871946	stable	15084
chr6	PSMB1	chr6_170889387	stable	32525
chr6	TMEM242	chr6_157752712	stable	9202
chr6	NRSN1	chr6_24133633	stable	7461
chr6	ADGB	chr6_146933102	stable	15133
chr6	VIP	chr6_153074399	stable	5037
chr6	YIPF3	chr6_43492288	stable	8981
chr6	TPBG	chr6_83075992	stable	5435
chr6	SNX14	chr6_86316018	stable	13179
chr6	SNORA29	chr6_160215463	stable	10436
chr6	MAP3K7	chr6_91302820	stable	8439
chr6	PRIM2	chr6_57186744	stable	8158
chr6	U6.199	chr6_111418818	stable	6837
chr6	U6.199	chr6_111427912	stable	15931
chr6	U6.199	chr6_111425371	stable	13390
chr6	SNX9	chr6_158252125	stable	8552
chr6	ACAT2	SNORA29	stable	23975
chr6	ANKRD6	chr6_90318885	stable	176786
chr6	HIST1H3F	HIST1H2BH	stable	1537
chr6	DAAM2	chr6_39769504	stable	15409
chr6	CLVS2	chr6_123323699	stable	7983
chr6	SYNJ2	chr6_158430296	stable	28820
chr6	RNU4-70P	chr6_97099726	stable	2262
chr6	MTHFD1L	chr6_151204844	stable	21921
chr6	TCP11	chr6_35118101	stable	2765
chr6	RANBP9	chr6_13744241	stable	34086
chr6	VGLL2	chr6_117600457	stable	20775
chr6	MPC1	chr6_166806733	stable	11391
chr6	BAG2	chr6_57055029	stable	20200
chr6	GCNT2	chr6_10497766	stable	8954
chr6	EEF1E1	chr6_8113967	stable	17099
chr6	ZKSCAN3	chr6_28330699	stable	18485
chr6	MIR4639	chr6_16162317	stable	27779
chr6	B3GAT2	chr6_71672258	stable	8228
chr6	UST	chr6_149089886	stable	28531
chr6	GPR110	chr6_47020026	stable	10538
chr6	KATNA1	chr6_149980998	stable	12770
chr6	ZSCAN16	chr6_28106678	stable	14352
chr6	GRM1	chr6_146360713	stable	12664
chr6	HIST1H2BO	chr6_27866069	stable	5034
chr6	MMS22L	chr6_97741026	stable	16865
chr6	RHAG	chr6_49614872	stable	11364
chr6	GGNBP1	ITPR3	stable	25567
chr6	MEA1	chr6_42997901	stable	23501
chr6	U3.81	chr6_114117392	stable	21545
chr6	MIR3691	chr6_5157106	stable	9717
chr6	HIST1H4J	chr6_27801292	stable	10326
chr6	TREML1	TREM2	stable	14578
chr6	IPCEF1	chr6_154683911	stable	6031
chr6	NHLRC1	chr6_18135296	stable	13084
chr6	SLC26A8	MAPK14	stable	11100
chr6	snoU13.83	chr6_74125395	stable	25410
chr6	HIST1H4G	chr6_26264957	stable	20590
chr6	HIST1H4J	HIST1H1B	stable	43385
chr6	FABP7	chr6_123101241	stable	5682
chr6	RNF182	chr6_13937103	stable	12495
chr6	GPR111	chr6_47633159	stable	11907
chr6	PHACTR1	chr6_12725656	stable	8370
chr6	HIST1H4G	chr6_26283091	stable	38724
chr6	HIST1H3F	HIST1H3G	stable	21199
chr6	CNR1	chr6_88894530	stable	20024
chr6	snoU13.404	chr6_76582072	stable	16358
chr6	HIST1H4H	chr6_26301206	stable	16146
chr6	HIST1H2BF	chr6_26221236	stable	21554
chr6	SHPRH	chr6_146286772	stable	2191
chr6	ZNF318	chr6_43349204	stable	15762
chr6	RNGTT	chr6_89676161	stable	4163
chr6	Z99129.1	chr6_122885446	stable	12167
chr6	U1.19	chr6_37891064	stable	7848
chr6	UNC5CL	chr6_41029238	stable	34580
chr6	MIR3925	U1.93	stable	16615
chr6	HIST1H1B	chr6_27845140	stable	10789
chr6	CPNE5	chr6_36812947	stable	16080
chr6	OPN5	chr6_47755390	stable	8714
chr6	DDO	chr6_110753740	stable	13708
chr6	HIST1H1B	chr6_27852999	stable	18648
chr6	ETV7	chr6_36359771	stable	5165
chr6	U6.737	chr6_46002451	stable	16235
chr6	CNPY3	chr6_42949428	stable	52889
chr6	EYS	chr6_66426466	stable	12316
chr6	SGK1	chr6_134664161	stable	28579
chr6	LCA5	chr6_80255996	stable	11672
chr6	PERP	chr6_138438150	stable	14503
chr6	MDN1	snoU13.223	stable	1090
chr6	EEF1A1	chr6_74238855	stable	10643
chr6	LAMA4	chr6_112591988	stable	19600
chr6	RNU4-18P	chr6_131970462	stable	9539
chr6	FAM26D	chr6_116856184	stable	6710
chr6	TMEM244	chr6_130195533	stable	13939
chr6	HIST1H1B	chr6_27849445	stable	15094
chr6	U6.490	chr6_14658255	stable	17849
chr6	GRM1	chr6_146351791	stable	3742
chr6	KLHL31	chr6_53538693	stable	8599
chr6	ACAT2	chr6_160187805	stable	6753
chr6	U6.631	chr6_151937712	stable	14525
chr6	BACH2	MIR4464	stable	13884
chr6	UST	chr6_149082479	stable	21124
chr6	CDKAL1	chr6_20542473	stable	7966
chr6	WTAP	ACAT2	stable	36932
chr6	SNORD112.46	chr6_78655624	stable	11823
chr6	PAK1IP1	chr6_10700236	stable	16030
chr6	MIR548AJ1	chr6_132441470	stable	6494
chr6	LAMA4	chr6_112584050	stable	11662
chr6	PRDM13	chr6_100064911	stable	14971
chr6	MNF1	IP6K3	stable	32238
chr6	SRSF12	chr6_89829251	stable	10924
chr6	STK38	SRSF3	stable	45958
chr6	SNORD112.27	chr6_137862988	stable	1999
chr6	FUCA2	chr6_143840575	stable	9393
chr6	SYNJ2	chr6_158436130	stable	34654
chr6	OLIG3	chr6_137834161	stable	22505
chr6	TRMT11	chr6_126314776	stable	10210
chr6	U6.850	chr6_159374862	stable	36825
chr6	RRP36	KLC4	stable	13992
chr6	PPARD	chr6_35406008	stable	96379
chr6	FRS3	chr6_41758635	stable	5850
chr6	MIR3692	chr6_157963515	stable	16448
chr6	HIST1H2BJ	HIST1H4I	stable	7316
chr6	SAMD5	chr6_147833868	stable	15248
chr6	ZBTB24	chr6_109815969	stable	21535
chr6	MIR3145	chr6_138757320	stable	6278
chr6	SNORA20	chr6_160204378	stable	9083
chr6	U1.18	chr6_47811174	stable	20179
chr6	MAP7	chr6_136880971	stable	12374
chr6	PNLDC1	chr6_160238940	stable	21846
chr6	MCM3	chr6_52262336	stable	112671
chr6	PKIB	chr6_122799356	stable	12305
chr6	U6.393	chr6_166143207	stable	15271
chr6	IL17A	chr6_52063174	stable	13667
chr6	DCBLD1	chr6_117786122	stable	16750
chr6	snoU13.293	chr6_11084674	stable	7072
chr6	HIST1H2AB	HIST1H2BB	stable	2287
chr6	HIST1H2AD	HIST1H4G	stable	47481
chr6	Z97352.1	chr6_130092268	stable	25804
chr6	SPACA1	chr6_88771504	stable	25074
chr6	HEY2	chr6_126085884	stable	19148
chr6	PRDM1	chr6_106544515	stable	12591
chr6	NUS1	chr6_118004056	stable	10720
chr6	GJB7	chr6_88045973	stable	7772
chr6	TEAD3	TULP1	stable	32514
chr6	PDSS2	chr6_107784779	stable	6587
chr6	SLC2A12	chr6_134383176	stable	12088
chr6	LEMD2	chr6_33787626	stable	41273
chr6	TCP1	chr6_160227422	stable	18825
chr6	PRSS35	chr6_84231846	stable	10300
chr6	SYNJ2	chr6_158444774	stable	43298
chr6	MIR206	chr6_52022322	stable	14472
chr6	U2.51	chr6_28383867	stable	7190
chr6	PRDM13	chr6_100060078	stable	10138
chr6	MLIP	chr6_53809420	stable	15542
chr6	RANBP9	chr6_13734181	stable	24026
chr6	OARD1	chr6_41086020	stable	21570
chr6	QKI	chr6_163845546	stable	12181
chr6	LRRC16A	chr6_25301288	stable	24827
chr6	EEF1E1	chr6_8110863	stable	13995
chr6	HIST1H4G	chr6_26261537	stable	17170
chr6	HIST1H4K	HIST1H2BO	stable	68588
chr6	RAB32	chr6_146875655	stable	15768
chr6	U6.390	chr6_27569830	stable	18250
chr6	PPIL4	chr6_149873613	stable	8197
chr6	U6.648	chr6_117786495	stable	8234
chr6	HDAC2	chr6_114346894	stable	21311
chr6	LINC00336	chr6_33570359	stable	15358
chr6	snoU13.368	chr6_34665506	stable	24527
chr6	HIST1H3I	chr6_27845140	stable	7519
chr6	GCM2	chr6_10907881	stable	28440
chr6	IL17F	chr6_52128030	stable	20593
chr6	AKAP12	chr6_151567243	stable	8274
chr6	U6.648	chr6_117788074	stable	9813
chr6	U6.455	RPL7L1	stable	210208
chr6	HIST1H2AD	HIST1H3E	stable	26370
chr6	HIST1H2AB	HIST1H1C	stable	18564
chr6	HCRTR2	chr6_55051128	stable	17111
chr6	OARD1	chr6_41076776	stable	12326
chr6	MAP3K7	chr6_91306799	stable	12418
chr6	PBOV1	chr6_138543509	stable	5997
chr6	HIST1H1A	HIST1H1C	stable	34187
chr6	PRSS16	chr6_27226868	stable	12894
chr6	U6.515	chr6_112518392	stable	4895
chr6	RPS6KA2-AS1	chr6_167332710	stable	33047
chr6	LRRC16A	chr6_25295525	stable	19064
chr6	ZBTB2	RMND1	stable	56787
chr6	RANBP9	chr6_13736442	stable	26287
chr6	snoU13.17	chr6_25439236	stable	9256
chr6	U2.51	chr6_28379762	stable	3085
chr6	F13A1	chr6_6331440	stable	12830
chr6	COL12A1	chr6_75919782	stable	15035
chr6	KCNQ5	chr6_73347032	stable	16284
chr6	KATNA1	chr6_149978555	stable	10327
chr6	MIR4639	chr6_16163239	stable	28701
chr6	U6.886	chr6_77159624	stable	3740
chr6	ZSCAN23	chr6_28440896	stable	32399
chr6	HCRTR2	chr6_55040411	stable	6394
chr6	VGLL2	chr6_117605055	stable	25373
