chromosome	IDs	expression
chr6	chr6_549023	intergenic
chr6	chr6_551102	intergenic
chr6	chr6_552998	intergenic
chr6	chr6_554844	intergenic
chr6	chr6_559672	intergenic
chr6	chr6_560458	intergenic
chr6	chr6_562667	intergenic
chr6	chr6_563432	intergenic
chr6	chr6_564665	intergenic
chr6	chr6_565610	intergenic
chr6	chr6_566866	intergenic
chr6	chr6_569749	intergenic
chr6	chr6_575583	intergenic
chr6	chr6_579689	intergenic
chr6	chr6_584041	intergenic
chr6	chr6_585975	intergenic
chr6	chr6_586279	intergenic
chr6	chr6_588791	intergenic
chr6	chr6_594600	intergenic
chr6	chr6_596036	intergenic
chr6	chr6_598092	intergenic
chr6	chr6_617983	intergenic
chr6	chr6_630469	intergenic
chr6	chr6_631249	intergenic
chr6	chr6_637435	intergenic
chr6	chr6_639774	intergenic
chr6	chr6_644937	intergenic
chr6	chr6_646807	intergenic
chr6	chr6_650376	intergenic
chr6	chr6_653840	intergenic
chr6	HUS1B	stable
chr6	chr6_661205	intergenic
chr6	chr6_679306	intergenic
chr6	chr6_681621	intergenic
chr6	chr6_683044	intergenic
chr6	chr6_683778	intergenic
chr6	chr6_689331	intergenic
chr6	EXOC2	stable
chr6	chr6_697138	intergenic
chr6	chr6_718592	intergenic
chr6	chr6_722424	intergenic
chr6	chr6_732691	intergenic
chr6	chr6_735782	intergenic
chr6	chr6_742068	intergenic
chr6	chr6_746772	intergenic
chr6	chr6_747853	intergenic
chr6	chr6_753627	intergenic
chr6	chr6_784629	intergenic
chr6	chr6_785234	intergenic
chr6	chr6_790951	intergenic
chr6	chr6_796030	intergenic
chr6	chr6_798748	intergenic
chr6	chr6_800333	intergenic
chr6	chr6_960293	intergenic
chr6	chr6_1053462	intergenic
chr6	chr6_1069903	intergenic
chr6	chr6_1081862	intergenic
chr6	chr6_1085482	intergenic
chr6	chr6_1086148	intergenic
chr6	chr6_1089237	intergenic
chr6	chr6_1099159	intergenic
chr6	chr6_1103479	intergenic
chr6	chr6_1113245	intergenic
chr6	chr6_1120378	intergenic
chr6	chr6_1127896	intergenic
chr6	chr6_1134665	intergenic
chr6	chr6_1135411	intergenic
chr6	chr6_1153532	intergenic
chr6	chr6_1156129	intergenic
chr6	chr6_1159386	intergenic
chr6	chr6_1169439	intergenic
chr6	snoU13.72	NA
chr6	chr6_1191108	intergenic
chr6	chr6_1195759	intergenic
chr6	chr6_1197390	intergenic
chr6	chr6_1202100	intergenic
chr6	chr6_1203666	intergenic
chr6	chr6_1204914	intergenic
chr6	chr6_1207151	intergenic
chr6	chr6_1209354	intergenic
chr6	chr6_1224570	intergenic
chr6	chr6_1224748	intergenic
chr6	chr6_1226854	intergenic
chr6	chr6_1228942	intergenic
chr6	chr6_1231819	intergenic
chr6	chr6_1234343	intergenic
chr6	chr6_1239706	intergenic
chr6	chr6_1241163	intergenic
chr6	chr6_1250041	intergenic
chr6	chr6_1251855	intergenic
chr6	chr6_1262220	intergenic
chr6	chr6_1269246	intergenic
chr6	chr6_1274682	intergenic
chr6	FOXQ1	NA
chr6	chr6_1333834	intergenic
chr6	chr6_1335238	intergenic
chr6	chr6_1335672	intergenic
chr6	chr6_1347767	intergenic
chr6	chr6_1353750	intergenic
chr6	chr6_1367571	intergenic
chr6	chr6_1369425	intergenic
chr6	chr6_1371672	intergenic
chr6	chr6_1374216	intergenic
chr6	chr6_1374959	intergenic
chr6	chr6_1375004	intergenic
chr6	chr6_1378389	intergenic
chr6	chr6_1386015	intergenic
chr6	FOXF2	NA
chr6	chr6_1391565	intergenic
chr6	chr6_1409637	intergenic
chr6	chr6_1413157	intergenic
chr6	chr6_1414096	intergenic
chr6	chr6_1530210	intergenic
chr6	chr6_1533103	intergenic
chr6	chr6_1545430	intergenic
chr6	chr6_1556962	intergenic
chr6	chr6_1558967	intergenic
chr6	chr6_1572275	intergenic
chr6	chr6_1581684	intergenic
chr6	chr6_1587829	intergenic
chr6	chr6_1590610	intergenic
chr6	chr6_1592653	intergenic
chr6	chr6_1600670	intergenic
chr6	chr6_1602258	intergenic
chr6	FOXC1	stable
chr6	chr6_1615872	intergenic
chr6	chr6_1616358	intergenic
chr6	chr6_1617613	intergenic
chr6	chr6_1627375	intergenic
chr6	chr6_1628033	intergenic
chr6	chr6_1629216	intergenic
chr6	chr6_1630210	intergenic
chr6	chr6_1630579	intergenic
chr6	chr6_1630821	intergenic
chr6	chr6_1631679	intergenic
chr6	chr6_1641124	intergenic
chr6	chr6_1641652	intergenic
chr6	chr6_1663221	intergenic
chr6	chr6_2091163	intergenic
chr6	chr6_2095724	intergenic
chr6	chr6_2098935	intergenic
chr6	chr6_2099549	intergenic
chr6	chr6_2101594	intergenic
chr6	chr6_2103477	intergenic
chr6	chr6_2104492	intergenic
chr6	chr6_2104847	intergenic
chr6	chr6_2106653	intergenic
chr6	chr6_2110798	intergenic
chr6	chr6_2112809	intergenic
chr6	chr6_2147924	intergenic
chr6	chr6_2159172	intergenic
chr6	chr6_2161753	intergenic
chr6	chr6_2178565	intergenic
chr6	chr6_2182155	intergenic
chr6	chr6_2187143	intergenic
chr6	chr6_2187630	intergenic
chr6	chr6_2187883	intergenic
chr6	chr6_2189167	intergenic
chr6	chr6_2192824	intergenic
chr6	chr6_2195380	intergenic
chr6	chr6_2197106	intergenic
chr6	chr6_2207278	intergenic
chr6	chr6_2208297	intergenic
chr6	chr6_2210285	intergenic
chr6	chr6_2213080	intergenic
chr6	chr6_2214008	intergenic
chr6	chr6_2214375	intergenic
chr6	chr6_2222745	intergenic
chr6	chr6_2228773	intergenic
chr6	chr6_2237632	intergenic
chr6	GMDS	up
chr6	chr6_2247710	intergenic
chr6	chr6_2257887	intergenic
chr6	chr6_2259786	intergenic
chr6	chr6_2260479	intergenic
chr6	chr6_2262529	intergenic
chr6	chr6_2262922	intergenic
chr6	chr6_2263647	intergenic
chr6	chr6_2266431	intergenic
chr6	chr6_2268128	intergenic
chr6	chr6_2268539	intergenic
chr6	chr6_2271123	intergenic
chr6	chr6_2276936	intergenic
chr6	chr6_2279535	intergenic
chr6	chr6_2280673	intergenic
chr6	chr6_2297021	intergenic
chr6	chr6_2344282	intergenic
chr6	chr6_2347135	intergenic
chr6	chr6_2365279	intergenic
chr6	chr6_2605196	intergenic
chr6	chr6_2623679	intergenic
chr6	chr6_2627642	intergenic
chr6	chr6_2628029	intergenic
chr6	chr6_2632025	intergenic
chr6	chr6_2632335	intergenic
chr6	chr6_2633562	intergenic
chr6	chr6_2635465	intergenic
chr6	chr6_2642845	intergenic
chr6	chr6_2664514	intergenic
chr6	chr6_2667217	intergenic
chr6	chr6_2671282	intergenic
chr6	chr6_2672729	intergenic
chr6	chr6_2676425	intergenic
chr6	chr6_2678472	intergenic
chr6	chr6_2685150	intergenic
chr6	chr6_2685267	intergenic
chr6	chr6_2687742	intergenic
chr6	chr6_2691821	intergenic
chr6	chr6_2700987	intergenic
chr6	chr6_2705196	intergenic
chr6	chr6_2706766	intergenic
chr6	chr6_2709974	intergenic
chr6	chr6_2717890	intergenic
chr6	chr6_2725946	intergenic
chr6	chr6_2732410	intergenic
chr6	chr6_2732760	intergenic
chr6	chr6_2734064	intergenic
chr6	chr6_2735264	intergenic
chr6	chr6_2746816	intergenic
chr6	chr6_2746830	intergenic
chr6	MYLK4	down
chr6	WRNIP1	stable
chr6	chr6_2770475	intergenic
chr6	chr6_2770831	intergenic
chr6	chr6_2771827	intergenic
chr6	chr6_2772869	intergenic
chr6	chr6_2773502	intergenic
chr6	chr6_2775888	intergenic
chr6	chr6_2780672	intergenic
chr6	chr6_2785195	intergenic
chr6	chr6_2789554	intergenic
chr6	chr6_2792866	intergenic
chr6	chr6_2794207	intergenic
chr6	chr6_2795517	intergenic
chr6	chr6_2811017	intergenic
chr6	chr6_2817292	intergenic
chr6	chr6_2818794	intergenic
chr6	chr6_2819329	intergenic
chr6	chr6_2820759	intergenic
chr6	chr6_2826254	intergenic
chr6	chr6_2827828	intergenic
chr6	chr6_2833362	intergenic
chr6	chr6_2833808	intergenic
chr6	chr6_2839357	intergenic
chr6	SERPINB1	up
chr6	chr6_2842326	intergenic
chr6	chr6_2847610	intergenic
chr6	MIR4645	stable
chr6	chr6_2866351	intergenic
chr6	chr6_2868904	intergenic
chr6	chr6_2869305	intergenic
chr6	chr6_2870100	intergenic
chr6	chr6_2876599	intergenic
chr6	chr6_2879054	intergenic
chr6	chr6_2886925	intergenic
chr6	chr6_2888190	intergenic
chr6	chr6_2890944	intergenic
chr6	chr6_2891663	intergenic
chr6	chr6_2891788	intergenic
chr6	chr6_2893633	intergenic
chr6	chr6_2894253	intergenic
chr6	chr6_2899384	intergenic
chr6	SERPINB9	up
chr6	chr6_2914033	intergenic
chr6	chr6_2920866	intergenic
chr6	chr6_2921475	intergenic
chr6	chr6_2930699	intergenic
chr6	chr6_2934325	intergenic
chr6	chr6_2935211	intergenic
chr6	chr6_2944317	intergenic
chr6	chr6_2944947	intergenic
chr6	chr6_2950167	intergenic
chr6	chr6_2950395	intergenic
chr6	chr6_2952441	intergenic
chr6	chr6_2953766	intergenic
chr6	SERPINB6	stable
chr6	chr6_2973713	intergenic
chr6	chr6_2978349	intergenic
chr6	chr6_2981203	intergenic
chr6	NQO2	stable
chr6	chr6_2990868	intergenic
chr6	chr6_2997458	intergenic
chr6	chr6_3011759	intergenic
chr6	chr6_3016707	intergenic
chr6	chr6_3017449	intergenic
chr6	chr6_3020906	intergenic
chr6	chr6_3027275	intergenic
chr6	chr6_3030209	intergenic
chr6	chr6_3033763	intergenic
chr6	chr6_3035917	intergenic
chr6	chr6_3038475	intergenic
chr6	chr6_3038655	intergenic
chr6	chr6_3040210	intergenic
chr6	chr6_3042177	intergenic
chr6	chr6_3043890	intergenic
chr6	chr6_3055662	intergenic
chr6	chr6_3059787	intergenic
chr6	chr6_3066721	intergenic
chr6	chr6_3067473	intergenic
chr6	chr6_3075355	intergenic
chr6	chr6_3079025	intergenic
chr6	chr6_3089706	intergenic
chr6	chr6_3103863	intergenic
chr6	chr6_3103956	intergenic
chr6	chr6_3105557	intergenic
chr6	chr6_3106310	intergenic
chr6	chr6_3106917	intergenic
chr6	chr6_3110164	intergenic
chr6	BPHL	stable
chr6	chr6_3119854	intergenic
chr6	chr6_3129613	intergenic
chr6	chr6_3131979	intergenic
chr6	chr6_3132529	intergenic
chr6	chr6_3139358	intergenic
chr6	chr6_3149509	intergenic
chr6	chr6_3151921	intergenic
chr6	chr6_3153503	intergenic
chr6	TUBB2A	stable
chr6	chr6_3166401	intergenic
chr6	chr6_3168757	intergenic
chr6	chr6_3171861	intergenic
chr6	chr6_3178916	intergenic
chr6	chr6_3181400	intergenic
chr6	chr6_3181440	intergenic
chr6	chr6_3182602	intergenic
chr6	chr6_3183772	intergenic
chr6	chr6_3184426	intergenic
chr6	chr6_3185119	intergenic
chr6	chr6_3188927	intergenic
chr6	chr6_3191012	intergenic
chr6	chr6_3193726	intergenic
chr6	chr6_3194489	intergenic
chr6	chr6_3194689	intergenic
chr6	chr6_3195098	intergenic
chr6	chr6_3196726	intergenic
chr6	chr6_3200249	intergenic
chr6	chr6_3201898	intergenic
chr6	chr6_3208986	intergenic
chr6	chr6_3213626	intergenic
chr6	chr6_3215297	intergenic
chr6	chr6_3221177	intergenic
chr6	chr6_3222754	intergenic
chr6	chr6_3223030	intergenic
chr6	PSMG4	stable
chr6	chr6_3240632	intergenic
chr6	chr6_3243346	intergenic
chr6	chr6_3248342	intergenic
chr6	chr6_3256429	intergenic
chr6	chr6_3269812	intergenic
chr6	chr6_3272607	intergenic
chr6	chr6_3273865	intergenic
chr6	chr6_3274690	intergenic
chr6	chr6_3275619	intergenic
chr6	chr6_3282218	intergenic
chr6	chr6_3284908	intergenic
chr6	chr6_3288270	intergenic
chr6	chr6_3290213	intergenic
chr6	chr6_3292415	intergenic
chr6	chr6_3293780	intergenic
chr6	chr6_3296925	intergenic
chr6	chr6_3297235	intergenic
chr6	chr6_3298700	intergenic
chr6	chr6_3304733	intergenic
chr6	chr6_3306318	intergenic
chr6	chr6_3311727	intergenic
chr6	chr6_3330934	intergenic
chr6	chr6_3333861	intergenic
chr6	chr6_3337742	intergenic
chr6	chr6_3339563	intergenic
chr6	chr6_3341131	intergenic
chr6	chr6_3341992	intergenic
chr6	chr6_3342284	intergenic
chr6	chr6_3343830	intergenic
chr6	chr6_3345024	intergenic
chr6	chr6_3348599	intergenic
chr6	chr6_3350864	intergenic
chr6	chr6_3352941	intergenic
chr6	chr6_3356879	intergenic
chr6	chr6_3357782	intergenic
chr6	chr6_3361507	intergenic
chr6	chr6_3370649	intergenic
chr6	chr6_3373548	intergenic
chr6	chr6_3377353	intergenic
chr6	chr6_3380463	intergenic
chr6	chr6_3382888	intergenic
chr6	chr6_3395889	intergenic
chr6	chr6_3400579	intergenic
chr6	chr6_3407764	intergenic
chr6	chr6_3408171	intergenic
chr6	chr6_3414068	intergenic
chr6	chr6_3417000	intergenic
chr6	chr6_3419226	intergenic
chr6	chr6_3422895	intergenic
chr6	chr6_3427366	intergenic
chr6	chr6_3430521	intergenic
chr6	SLC22A23	down
chr6	chr6_3462072	intergenic
chr6	chr6_3464496	intergenic
chr6	chr6_3470951	intergenic
chr6	chr6_3481571	intergenic
chr6	chr6_3491349	intergenic
chr6	chr6_3494820	intergenic
chr6	chr6_3496544	intergenic
chr6	chr6_3496675	intergenic
chr6	chr6_3499257	intergenic
chr6	chr6_3500833	intergenic
chr6	chr6_3501903	intergenic
chr6	chr6_3504039	intergenic
chr6	chr6_3513371	intergenic
chr6	chr6_3516102	intergenic
chr6	chr6_3522577	intergenic
chr6	chr6_3532151	intergenic
chr6	chr6_3536379	intergenic
chr6	chr6_3565791	intergenic
chr6	chr6_3569091	intergenic
chr6	chr6_3585040	intergenic
chr6	chr6_3588246	intergenic
chr6	chr6_3616526	intergenic
chr6	chr6_3649611	intergenic
chr6	chr6_3667226	intergenic
chr6	chr6_3686080	intergenic
chr6	chr6_3692015	intergenic
chr6	chr6_3696349	intergenic
chr6	chr6_3698849	intergenic
chr6	chr6_3700788	intergenic
chr6	chr6_3702524	intergenic
chr6	chr6_3705161	intergenic
chr6	chr6_3707040	intergenic
chr6	chr6_3710397	intergenic
chr6	chr6_3720274	intergenic
chr6	chr6_3722979	intergenic
chr6	chr6_3724969	intergenic
chr6	chr6_3737769	intergenic
chr6	PXDC1	stable
chr6	chr6_3755867	intergenic
chr6	chr6_3759230	intergenic
chr6	chr6_3775930	intergenic
chr6	chr6_3776218	intergenic
chr6	chr6_3779660	intergenic
chr6	chr6_3783223	intergenic
chr6	chr6_3783640	intergenic
chr6	chr6_3785131	intergenic
chr6	chr6_3793385	intergenic
chr6	chr6_3793692	intergenic
chr6	chr6_3797844	intergenic
chr6	chr6_3804346	intergenic
chr6	chr6_3806223	intergenic
chr6	chr6_3808468	intergenic
chr6	chr6_3812740	intergenic
chr6	chr6_3817627	intergenic
chr6	chr6_3819211	intergenic
chr6	chr6_3820617	intergenic
chr6	chr6_3823824	intergenic
chr6	chr6_3829387	intergenic
chr6	chr6_3829611	intergenic
chr6	chr6_3834298	intergenic
chr6	chr6_3835207	intergenic
chr6	chr6_3835982	intergenic
chr6	chr6_3836649	intergenic
chr6	chr6_3841132	intergenic
chr6	chr6_3843844	intergenic
chr6	FAM50B	stable
chr6	chr6_3851409	intergenic
chr6	chr6_3852546	intergenic
chr6	chr6_3855920	intergenic
chr6	chr6_3858392	intergenic
chr6	chr6_3859943	intergenic
chr6	chr6_3862585	intergenic
chr6	chr6_3864905	intergenic
chr6	chr6_3874401	intergenic
chr6	chr6_3874791	intergenic
chr6	chr6_3876719	intergenic
chr6	chr6_3878788	intergenic
chr6	chr6_3883033	intergenic
chr6	chr6_3885335	intergenic
chr6	chr6_3886273	intergenic
chr6	chr6_3897786	intergenic
chr6	chr6_3907250	intergenic
chr6	chr6_3921166	intergenic
chr6	chr6_3936522	intergenic
chr6	chr6_3937162	intergenic
chr6	chr6_3939943	intergenic
chr6	chr6_3941053	intergenic
chr6	chr6_3945284	intergenic
chr6	chr6_3945535	intergenic
chr6	chr6_3954501	intergenic
chr6	chr6_3956570	intergenic
chr6	chr6_3962601	intergenic
chr6	chr6_3963912	intergenic
chr6	chr6_3969449	intergenic
chr6	chr6_3969763	intergenic
chr6	chr6_3975244	intergenic
chr6	chr6_3975630	intergenic
chr6	chr6_3977272	intergenic
chr6	chr6_3978116	intergenic
chr6	C6ORF50	NA
chr6	chr6_3983616	intergenic
chr6	chr6_3985203	intergenic
chr6	chr6_3989817	intergenic
chr6	chr6_3989928	intergenic
chr6	chr6_3996624	intergenic
chr6	chr6_3997267	intergenic
chr6	chr6_4001567	intergenic
chr6	chr6_4010617	intergenic
chr6	chr6_4014469	intergenic
chr6	PRPF4B	stable
chr6	chr6_4033013	intergenic
chr6	chr6_4033558	intergenic
chr6	chr6_4043503	intergenic
chr6	chr6_4057384	intergenic
chr6	chr6_4061973	intergenic
chr6	chr6_4069372	intergenic
chr6	chr6_4074996	intergenic
chr6	snoU13.453	NA
chr6	FAM217A	stable
chr6	chr6_4087691	intergenic
chr6	chr6_4088877	intergenic
chr6	chr6_4088939	intergenic
chr6	chr6_4091332	intergenic
chr6	chr6_4092085	intergenic
chr6	chr6_4100054	intergenic
chr6	chr6_4100647	intergenic
chr6	chr6_4104865	intergenic
chr6	chr6_4108440	intergenic
chr6	chr6_4112173	intergenic
chr6	chr6_4116027	intergenic
chr6	chr6_4117116	intergenic
chr6	chr6_4117552	intergenic
chr6	chr6_4128150	intergenic
chr6	chr6_4135738	intergenic
chr6	chr6_4141631	intergenic
chr6	chr6_4153059	intergenic
chr6	chr6_4165737	intergenic
chr6	chr6_4174012	intergenic
chr6	chr6_4177936	intergenic
chr6	chr6_4182252	intergenic
chr6	chr6_4188048	intergenic
chr6	chr6_4191089	intergenic
chr6	chr6_4192160	intergenic
chr6	chr6_4203009	intergenic
chr6	chr6_4207194	intergenic
chr6	chr6_4209543	intergenic
chr6	chr6_4210370	intergenic
chr6	chr6_4231148	intergenic
chr6	chr6_4353941	intergenic
chr6	chr6_4395889	intergenic
chr6	chr6_4453166	intergenic
chr6	chr6_4477311	intergenic
chr6	chr6_4490512	intergenic
chr6	chr6_4510852	intergenic
chr6	chr6_4517368	intergenic
chr6	chr6_4525175	intergenic
chr6	chr6_4530203	intergenic
chr6	chr6_4536214	intergenic
chr6	chr6_4538643	intergenic
chr6	chr6_4559056	intergenic
chr6	chr6_4563436	intergenic
chr6	chr6_4567729	intergenic
chr6	chr6_4589233	intergenic
chr6	chr6_4599183	intergenic
chr6	chr6_4603078	intergenic
chr6	chr6_4614812	intergenic
chr6	chr6_4616581	intergenic
chr6	chr6_4624108	intergenic
chr6	chr6_4626043	intergenic
chr6	chr6_4631369	intergenic
chr6	chr6_4635639	intergenic
chr6	chr6_4636618	intergenic
chr6	chr6_4637753	intergenic
chr6	snoU13.248	NA
chr6	chr6_4648197	intergenic
chr6	chr6_4651490	intergenic
chr6	chr6_4652570	intergenic
chr6	chr6_4664666	intergenic
chr6	chr6_4665939	intergenic
chr6	chr6_4668540	intergenic
chr6	chr6_4669313	intergenic
chr6	chr6_4672479	intergenic
chr6	chr6_4677848	intergenic
chr6	chr6_4679280	intergenic
chr6	chr6_4680962	intergenic
chr6	chr6_4682059	intergenic
chr6	chr6_4686670	intergenic
chr6	chr6_4696589	intergenic
chr6	CDYL	stable
chr6	chr6_4707156	intergenic
chr6	chr6_4712353	intergenic
chr6	chr6_4716533	intergenic
chr6	chr6_4717909	intergenic
chr6	chr6_4727771	intergenic
chr6	chr6_4728445	intergenic
chr6	chr6_4730207	intergenic
chr6	chr6_4735105	intergenic
chr6	chr6_4735858	intergenic
chr6	chr6_4737466	intergenic
chr6	chr6_4743170	intergenic
chr6	chr6_4743198	intergenic
chr6	chr6_4746059	intergenic
chr6	chr6_4748037	intergenic
chr6	chr6_4749088	intergenic
chr6	chr6_4756498	intergenic
chr6	chr6_4759124	intergenic
chr6	chr6_4762212	intergenic
chr6	chr6_4767940	intergenic
chr6	chr6_4772700	intergenic
chr6	chr6_4774340	intergenic
chr6	chr6_4780819	intergenic
chr6	chr6_4781350	intergenic
chr6	chr6_4782212	intergenic
chr6	chr6_4785816	intergenic
chr6	chr6_4790990	intergenic
chr6	chr6_4791339	intergenic
chr6	chr6_4802009	intergenic
chr6	chr6_4808467	intergenic
chr6	chr6_4808914	intergenic
chr6	chr6_4811311	intergenic
chr6	chr6_4812240	intergenic
chr6	chr6_4819592	intergenic
chr6	chr6_4825076	intergenic
chr6	chr6_4828907	intergenic
chr6	chr6_4848192	intergenic
chr6	chr6_4849144	intergenic
chr6	chr6_4855957	intergenic
chr6	chr6_4858260	intergenic
chr6	chr6_4859384	intergenic
chr6	chr6_4867214	intergenic
chr6	chr6_4873154	intergenic
chr6	chr6_4876286	intergenic
chr6	chr6_4878100	intergenic
chr6	chr6_4883591	intergenic
chr6	chr6_4884462	intergenic
chr6	chr6_4885147	intergenic
chr6	chr6_4888013	intergenic
chr6	chr6_4904058	intergenic
chr6	chr6_4904652	intergenic
chr6	chr6_4908817	intergenic
chr6	chr6_4916114	intergenic
chr6	chr6_4919443	intergenic
chr6	chr6_4928065	intergenic
chr6	chr6_4930258	intergenic
chr6	chr6_4934014	intergenic
chr6	chr6_4944034	intergenic
chr6	chr6_4950104	intergenic
chr6	chr6_4954487	intergenic
chr6	chr6_4954992	intergenic
chr6	chr6_4956256	intergenic
chr6	chr6_4958503	intergenic
chr6	chr6_4963227	intergenic
chr6	chr6_4963481	intergenic
chr6	chr6_4975252	intergenic
chr6	chr6_4978628	intergenic
chr6	chr6_4980085	intergenic
chr6	chr6_4982230	intergenic
chr6	chr6_4985212	intergenic
chr6	chr6_4991923	intergenic
chr6	chr6_4996250	intergenic
chr6	RPP40	stable
chr6	chr6_5006340	intergenic
chr6	chr6_5006889	intergenic
chr6	chr6_5009279	intergenic
chr6	chr6_5013142	intergenic
chr6	chr6_5020536	intergenic
chr6	chr6_5024818	intergenic
chr6	chr6_5028273	intergenic
chr6	chr6_5036248	intergenic
chr6	chr6_5039429	intergenic
chr6	chr6_5044980	intergenic
chr6	chr6_5049604	intergenic
chr6	chr6_5050545	intergenic
chr6	chr6_5061758	intergenic
chr6	chr6_5063411	intergenic
chr6	chr6_5065525	intergenic
chr6	chr6_5069393	intergenic
chr6	chr6_5071459	intergenic
chr6	chr6_5073033	intergenic
chr6	chr6_5074479	intergenic
chr6	chr6_5081285	intergenic
chr6	PPP1R3G	stable
chr6	chr6_5086215	intergenic
chr6	chr6_5088995	intergenic
chr6	chr6_5090604	intergenic
chr6	chr6_5092317	intergenic
chr6	chr6_5102403	intergenic
chr6	chr6_5102839	intergenic
chr6	chr6_5103782	intergenic
chr6	chr6_5115094	intergenic
chr6	chr6_5118891	intergenic
chr6	chr6_5120502	intergenic
chr6	chr6_5131942	intergenic
chr6	chr6_5132451	intergenic
chr6	chr6_5134431	intergenic
chr6	chr6_5135927	intergenic
chr6	chr6_5137729	intergenic
chr6	chr6_5140624	intergenic
chr6	chr6_5141648	intergenic
chr6	chr6_5144221	intergenic
chr6	chr6_5145438	intergenic
chr6	chr6_5145803	intergenic
chr6	MIR3691	NA
chr6	chr6_5150393	intergenic
chr6	chr6_5157106	intergenic
chr6	chr6_5165267	intergenic
chr6	chr6_5167496	intergenic
chr6	chr6_5170122	intergenic
chr6	chr6_5170641	intergenic
chr6	chr6_5174246	intergenic
chr6	chr6_5176729	intergenic
chr6	chr6_5177125	intergenic
chr6	chr6_5178701	intergenic
chr6	chr6_5183283	intergenic
chr6	chr6_5183786	intergenic
chr6	chr6_5184334	intergenic
chr6	chr6_5185632	intergenic
chr6	chr6_5186368	intergenic
chr6	chr6_5196626	intergenic
chr6	chr6_5196735	intergenic
chr6	chr6_5204348	intergenic
chr6	chr6_5204705	intergenic
chr6	chr6_5206166	intergenic
chr6	chr6_5210622	intergenic
chr6	chr6_5210638	intergenic
chr6	chr6_5211884	intergenic
chr6	chr6_5217718	intergenic
chr6	chr6_5220244	intergenic
chr6	chr6_5224067	intergenic
chr6	chr6_5228271	intergenic
chr6	chr6_5230712	intergenic
chr6	chr6_5234656	intergenic
chr6	chr6_5237427	intergenic
chr6	chr6_5241050	intergenic
chr6	chr6_5247492	intergenic
chr6	chr6_5251697	intergenic
chr6	chr6_5252958	intergenic
chr6	chr6_5255731	intergenic
chr6	chr6_5255775	intergenic
chr6	LYRM4	up
chr6	chr6_5262234	intergenic
chr6	chr6_5264086	intergenic
chr6	chr6_5267192	intergenic
chr6	chr6_5270413	intergenic
chr6	chr6_5274755	intergenic
chr6	chr6_5275430	intergenic
chr6	chr6_5276145	intergenic
chr6	chr6_5277398	intergenic
chr6	chr6_5281399	intergenic
chr6	chr6_5293583	intergenic
chr6	chr6_5297423	intergenic
chr6	chr6_5297947	intergenic
chr6	chr6_5298901	intergenic
chr6	chr6_5299738	intergenic
chr6	chr6_5303407	intergenic
chr6	chr6_5304366	intergenic
chr6	chr6_5307373	intergenic
chr6	chr6_5320003	intergenic
chr6	chr6_5321827	intergenic
chr6	chr6_5322369	intergenic
chr6	chr6_5322779	intergenic
chr6	chr6_5323068	intergenic
chr6	chr6_5323239	intergenic
chr6	chr6_5326844	intergenic
chr6	chr6_5327582	intergenic
chr6	chr6_5335203	intergenic
chr6	chr6_5335641	intergenic
